ComplejoRacial,Raza_Primaria,Informacion1
Complejo Chapalote ,Dulcillo del Noroeste,"Las muestras son pocas y en algunos lugares de la sierra de Sonora está teniendo éxito su uso en pinole y elotes y el rastrojo es muy apetecido por el ganado. Las evaluaciones de características fisicoquímicas y bromatológicas de la accesión SIN125 (altitud 150 m), arrojan que es un maíz suave y dulce apropiado para elaborar pinole, de baja absorción de agua. "
Complejo de maíces dentados tropicales ,Dzit Bacal,"Variedades de suelos pedregosos especialmente en la península de Yucatán bajo el sistema de roza-tumba y quema (milpa). Olote delgado y flexible, variedades intermedias con diferentes colores, con diferentes usos para variar la dieta. Mayor cantidad de germen (15.3%) se puede utilizar como fuente de lípidos, gran cantidad de pericarpio (8%). Su tortilla es suave. No hay maíces mejorados para esta raza. "
Complejo Chapalote ,Elotero de Sinaloa,Se distribuye desde Sonora hasta Chiapas; es una raza que se usa para elotes y para la elaboración de tortillas principalmente. 
 Complejo Cónico ,Elotes Cónicos,"Azules, rojos y negros en la aleurona, usos especiales para elotes, harinas. Potencial para producción de pigmentos (observación general para todos los azules y rojos). En el Estado de México se está generalizando el uso de los maíces rojos para la elaboración de pinole, asimismo el uso de los maíces azules cada vez es más común encontrar restaurantes que ofrecen tortillas azules como signo de calidad o novedad. "
Complejo de Ocho Hileras ,Elotes Occidentales,"Muy similar en los usos (elotes, atoles y pozole) a maíz Ancho. El precio es de 12 a 16 pesos por kilogramo, cinco veces más del valor normal. La mayor parte de las variantes conocidas son de ciclo corto, usado tanto en verano e invierno para surtir a las ciudades donde se distribuye de grano para pozole y elote. Presentan variantes de color, aunque la predominante en esta raza es la de color rojo. "
Complejo Sierra de Chihuahua ,Gordo,"Pericarpio grueso. La textura del grano es apreciada para diferentes formas de consumo como son galletas que solo este grano les da la suavidad característica, además también es usado en sopas o bien en guisos tipo pozole o menudo. "
Complejo de Ocho Hileras ,Harinoso de Ocho,"De esta raza no se tienen buenas muestras representativas en los bancos de germoplasma, pero en recientes visitas a la zona de distribución (Sonora Sinaloa, Nayarit) la gente lo conoce y lo recuerda. Es posible observar su influencia y algunas muestras puras. Observando poblaciones donde predomina la raza Blandito, es posible encontrar mazorcas con las características de harinoso de ocho, pero no siempre se tiene la precaución de separar y mantener formas puras de esta última, dado que lo que interesa de una forma utilitaria es la textura del grano. Algo que mantiene su cultivo es la producción de galletas llamadas Coricos, las cuales tienen una textura y sabor especial debido a la calidad y al tipo de harina que se obtiene con esta raza; también es usado el grano en sopas y pozole, así como los usos normales para tortilla y atoles. Las evaluaciones de fisicoquímicas y bromatológicas1 de las accesiones JAL16, SIN7 (altitud: 75 m y 1640 m), arrojan que el grano es grande a regular (PMG de 289.5 a 385.0g) y de dureza intermedia a dura; los genotipos de altura 1640 m, producen buen rendimiento y calidad de tortilla. "
Complejo de Ocho Hileras ,Jala,"Conocido desde el principio del siglo XX como el maíz gigante de México por ser la raza que presenta las mazorcas más largas. Hubo excursiones de los Estados Unidos para encontrar esta variedad para el mejoramiento genético. Raza restringida al Valle de Jala en Nayarit en suelos inundados, posiblemente el único adaptado para esas condiciones. Uso en pozoles y para tortilla. La textura es predominantemente dentada pero suave. Las accesiones colectadas a 1440 m se encontraron con textura más dura, los de baja altitud de textura más suave. Se encuentra en peligro de extinción. Se lleva a cabo una feria de elote en la región en la que se compite por producir el elote más grande, esto ha permitido que perduren los materiales de esta raza, pero aún con ello sigue en riesgo de extinción. "
NA,Mixeño,No información
Razas no asociadas a un grupo específico ,Mixteco,"Material intermedio entre las razas Cónico y Bolita, que desarrolla en condiciones limitantes de agua y en suelos pobres de la región Mixteca de Oaxaca. "
NA,Motozinteco,No información
Razas no asociadas a un grupo específico ,Mountain Yellow,Muy relacionado con materiales del grupo Complejo Serrano de Jalisco. Recientemente se han colectado muestras similares a las descritas originalmente por Anderson (1942) 
 Complejo Cónico ,Mushito,"La variante de Michoacán es el sostén y la subsistencia de las comunidades indígenas y mestizas de las partes altas de Michoacán (Meseta Purhépecha). Es adaptada a baja luminosidad. Hay formas dentadas y harinosas de color. Parecido en cierta forma a Chalqueño en formas y colores. Patrón de diferentes formas para diferentes usos. Planta muy grande, alta producción de materia seca, deseable para producir forraje. En algunos lugares altos de Jalisco y Michoacán tiene una buena adaptación en localidades cerca de la laguna de Chapala, que permite tener altos rendimientos que los maíces mejorados no han podido superar. La influencia de esta raza se observa desde las partes altas de Michoacán hasta Oaxaca aportando diversidad y buen potencial de rendimiento. En el estado de Oaxaca esta raza tiene una amplia distribución en la Sierra Sur, Mixteca Alta y Cañada, desde los 1725 a los 2574 m. Es una raza muy tardía, de porte alto de planta, mazorca larga y de grano dentado. "
Complejo de maduración temprana a tardía ,Nal-tel,"Es de las razas más precoces distribuida principalmente en la península de Yucatán, en la actualidad muy escasamente sembradas y poco representada en los bancos de germoplasma, por lo cual se considera en peligro de erosión genética y se requiere implementar un programa de rescate de las variantes actualmente sembradas y usadas. Se destina principalmente para elote, atoles y dulces. Raza que tiene el pericarpio más grueso, lo que propicia el contenido de mayor proteína de buena calidad en los subproductos como tortilla y pozol. Pericarpio 100 micras, suavidad intermedia y se puede utilizar para palomitas. Raza potencial para la obtención de alto contenido de fibra y germen (proporción de germen 14.3%), lo cual es muy importantes para las nuevas tendencias tecnológicas de nixtamalización ecológica en seco sin desperdicio y contaminación de agua. Parece haber resistencia genética a las plagas que atacan las hojas y al cogollo, principalmente al gusano cogollero. Las mezclas de Nal-Tel con Tuxpeño generan variantes precoces pero con mejores rendimientos y que han sido combinadas tradicionalmente por campesinos milperos en sus procesos de mejoramiento local. "
NA,Nal-tel de Altura,No información
NA,Negrito,No información
Razas no asociadas a un grupo específico ,Negro de Chimaltenango,"Esta raza fue descrita originalmente para la zona alta de Guatemala, contigua a Chiapas. Las variantes para México de grano cristalino azul oscuro se asocian a la raza Olotón. "
Complejo de maíces dentados tropicales ,Olotillo,"Adaptado a suelos someros, sistema de tumba-roza y quema, adecuado al sistema de milpa, partes tropicales de México. Predominan las formas blancas y amarillas pero existen variantes de los diferentes colores. Olote muy delgado y flexible. Es muy tardío. Ha disminuido su área en Chiapas y Oaxaca siendo desplazado por los Tuxpeños; se expandió en nuevas áreas de colonización. Material suave, buen rendimiento para la tortilla tradicional. La influencia de Olotillo se puede observar en gran parte de los materiales nativos del Estado de Veracruz, también se encuentra influencia en los Tuxpeños de la Huasteca Potosina. "
Complejo de maíces dentados tropicales ,Olotón,"Dominan la parte más alta de Chiapas (arriba de 2000 m) en Motozintla y los Altos. Algunos resisten siembras tempranas antes de lluvias. Adaptación a zonas de alta nubosidad. Vigor resistente, siembra asociada a Phaseolus coccineus. También se encuentran en todos los colores. Sustento de los pueblos Tzotziles y un poco los Tzetales, y en el Soconusco de los mames y otros pueblos. Son materiales altamente productivos en esas condiciones; el grano es de textura cristalina que en cierta forma evita o reduce el daño de las plagas de almacén. "
Complejo de Ocho Hileras ,Onaveño,"En las últimas visitas a Sonora, se estima que esta raza ha ampliado su distribución y/o prevalencia y esto se debe a que se adapta bien a las condiciones de baja humedad y tiene buenos rendimientos y para consumo humano da buena tortilla o bien buen pinole, sin embargo su éxito es que tiene buen forraje para el ganado que consumen el rastrojo directo o bien se muele la planta completa. Las evaluaciones fisicoquímicas y bromatológicas de las accesiones QRO12, SON42, (altitud: 2000 m ambas), arrojan que el grano es grande (PMG 314-343 g) y muy duro-regular; capacidad para absorber agua buena y regular, lo que lo hace apropiado para tortillas y botanas. "
Complejo Sierra de Chihuahua ,Palomero de Chihuahua,"Forma adaptada, muy probablemente pariente del palomero toluqueño, en la región de la Alta Babícora de Chihuahua. Raro desde 1968 cuando se reportó. Su prevalencia quizás obedece no tanto a su rendimiento per se, si no a su capacidad de producir grano bajo condiciones que otros materiales no prosperan, es decir a bajas precipitaciones y bajas temperaturas, ya que en algunas localidades es preferible asegurar por lo menos un poco de grano y forraje, con estos genotipos que arriesgarse a no obtener nada con maíces más productivos pero con mayores requerimientos de suelo y humedad. "
NA,Palomero de Jalisco,No información
 Complejo Cónico ,Palomero Toluqueño,"En peligro de extinción, distribución escasa, región del Valle de Toluca pero también en otros lugares aislados de la parte Central Alta de México. Formas precoces. Se considera que es adecuada para palomitas, por el carácter cristalino y reventador del grano, pero en México no se han generado programas de mejoramiento del carácter palomero. Puede tener interés por prosperar en lugares fríos. Espiga pequeña, puede ser de utilidad para que no haya desperdicio de energía. En la región de Toluca está ligado a grupos indígenas y esto es quizás lo que aún lo mantiene. Se considera el grano de buena calidad para elaborar tortillas. "
 Complejo Cónico ,Pepitilla,"Se distribuye principalmente en Morelos y Guerrero. Raza que da la mejor calidad de tortilla, calidad forrajera, brácteas suaves (totomoxtle) que se utiliza para envolver tamales. Se adapta a suelos delgados, marginales y de ladera. Generalmente de Olote delgado, y grano muy largo, sin embargo presenta una gran variación morfológica (tamaño grano, grosor de mazorca, tamaño de mazorca, cantidad de hileras, 18 a 30 hileras). Alto contenido proteico (12%), aceite (6%). En Morelos está siendo desplazado por su alto volumen y bajo peso. Tiene todos los colores (rojo muy intenso, rojo bajo, amarillo, negro). En todos los conglomerados se separa como una raza peculiar. Altitud 800 – 2000 m. Se combina con otras razas (principalmente con la raza Ancho en el estado de Guerrero), forma un continuo con otras razas. Existieron formas semejantes en el sureste de los EU. Es posible encontrar su influencia en germoplasma del altiplano en las razas Cónico Norteño, en subtrópico y trópico, quizás se deba a su buena combinación de este germoplasma con otros divergentes y/o su aportación de características que interesan a los agricultores como profundidad de grano, número de hileras, calidad de tortilla etc., lo que hace que encontremos su influencia en material diverso."
NA,Quicheño,No información
Complejo de maduración temprana a tardía ,Ratón,"Formas precoces con adaptación a lugares con clima subtropical bajo temporal así como en zonas desérticas bajo riego. Poco sensible al fotoperiodo por lo que tiene enorme potencial para el mejoramiento de maíces para países de altas latitudes. Se distribuye en Tamaulipas y Coahuila, Sierra de Arteaga y en la Comarca Lagunera; adaptación del nivel de mar a 1800 m. Bajos requerimientos de humedad para producir. La aportación de germoplasma para la formación de materiales de porte bajo y con buena precocidad y para siembras en alta densidad puede ser importante de esta raza. "
Complejo de Ocho Hileras ,Reventador,"Raza poco representada, no existen muchas muestras sin embargo existe evidencia de su influencia en razas como Tabloncillo y Chapalote, sin embargo aún es posible encontrar buenas muestras; resiste a plagas de almacén, tiene precocidad, por su carácter reventador se puede utilizar para elaborar palomitas. Las evaluaciones fisicoquímicas y bromatológicas de las accesiones NAY15, SON184 (altitud: 100 m ambas), arrojan que el grano es chico (PMG 133.5 a 251 g), suave y regular (generalmente cristalino y reventador) apropiado para la elaboración de botanas expandidas tipo palomitas o rosetas de maíz. "
Razas no asociadas a un grupo específico ,Serrano,Maíces de regiones de altura del estado de Oaxaca; grano cristalino a semidentado con gran variación en color. 
Razas no asociadas a un grupo específico ,Serrano Mixe,"Materiales de altura de la Sierra Mixe de Oaxaca; grano cristalino de gran variación en color; es un material relacionado con Olotón, pero no se ha estudiado suficientemente sus relaciones filogenéticas. "
Complejo de Ocho Hileras ,Tablilla de Ocho,"Se considera que su área de distribución es la región de la escarpa oeste de la Sierra Madre Occidental, entre 800 y 1200 m, en el estado de Nayarit, aunque se han obtenido colectas en Jalisco, Durango y Zacatecas en el pasado. No se cuenta con colectas recientes representativas de esta raza."
Complejo de Ocho Hileras ,Tabloncillo,"Una de las razas de uso comercial de mayor extensión en el occidente de México, usado en elotes, tortillas, pozoles y probablemente una de las más productivas previo a la expansión de los materiales híbridos de las empresas privadas. En los últimos 10 años se ha reducido su extensión de siembra. Color blanco crema en Jalisco, buen rendimiento de tortilla, arriba del promedio. Se considera que la hibridación entre estos y los Tuxpeños del estado de Veracruz, dieron origen una variedad llamada Tampiqueño. Evidencias etnobotánicas muestran que en sus áreas de distribución loa agricultores combinan, cruzan y seleccionan poblaciones de estas razas (Tuxpeño y Tabloncillo) para tener materiales de mejores rendimientos. Excelente material como fuente de tamaño de mazorca, uniformidad, sanidad y puede presentar una buena aptitud combinatoria con materiales de alturas intermedias y tropicales del Golfo. Existen todavía muy buenas muestras en manos de los agricultores. Dentro de la diversidad de esta raza hay un gradiente en cuanto a tamaño de planta y precocidad desde plantas bajas y precoces hasta plantas altas y tardías. "
Complejo de Ocho Hileras ,Tabloncillo Perla,"Tiene las mismas características que Tabloncillo, solo que su grano es cristalino y en algunas poblaciones su número de hileras puede ser menor y presentan mazorca más delgada. Excelente para botanas de buena calidad. Se cultiva en Nayarit. Grano grande (PMG 378 g) y muy duro y con poca capacidad para absorber agua. "
Complejo de maíces dentados tropicales ,Tehua,"Raza con pocos representantes en los bancos, recientemente se han obtenido buenas muestras en Chiapas; mazorcas abultadas en su base, tardías, con adaptación específica a una región muy restringida del estado de Chiapas; presenta buena combinación con razas de valles intermedios como Celaya y tropicales como Tuxpeño. Las evaluaciones de características fisicoquímicas y bromatológicas de las accesiones CHIS29 y CHIS202 (altitud 660 m y 1000 m), arrojan que el grano es de tamaño regular y de dureza regular a intermedia, apropiado para elaborar atoles y botanas."
Complejo de maduración temprana a tardía ,Tepecintle,"Muy parecido al Vandeño, con mazorca más corta, más delgada y con mayor precocidad. Se adapta a las laderas con suelos delgados. Presenta variedad de colores pero el más precoz es el blanco. Tiene buen rendimiento en masa y tortilla por el método tradicional. Una particularidad de esta raza es que tiene la punta de la mazorca descubierta. "
Complejo de maíces dentados tropicales ,Tuxpeño,"Una de las razas más productivas. Domina en grandes áreas principalmente las partes bajas tropicales bajo temporal, así como en las subtropicales bajo riego; se puede ampliar más su siembra utilizando para ello grandes áreas utilizadas como potreros en la actualidad. Predomina la siembra de primavera-verano, y en áreas con disposición de riego permiten su cultivo en el ciclo otoño-invierno. Muy importante a nivel nacional y la más utilizada para mejoramiento. Ha aumentado su área de distribución, no está claro cuál es su centro de distribución y de diversidad; es muy difuso. También se ha relacionado con muchas razas, forma un continuo. En la mayor parte de sus áreas de distribución predominan formas de grano blanco, a excepción de la península de Yucatán en donde también son muy importantes las formas de color amarillo y azul-negra. Recientemente se ha colectado una gran variación de color (blanco, varias tonalidades de amarillo, variegados, jaspeados y rojos) en la región de las Huastecas (Hidalgo, Veracruz, San Luis Potosí) y en los Tuxtlas, Veracruz. "
Complejo de maíces dentados tropicales ,Tuxpeño Norteño,"Adaptado a regiones subtropicales bajo condiciones de temporal, así como a regiones desérticas cálidas bajo riego. Con frecuencia hay tipos con muy buenas características agronómicas y alta capacidad de producción particularmente en formas del centro de Tamaulipas que se dispersaron a muchas otras áreas a través de los primeros maíces mejorados para esas regiones. Recientemente está siendo desplazado en gran parte por híbridos comerciales con germoplasma de otras partes del mundo. Hay variantes con buen rendimiento de tortilla (1.7 kg de tortilla/kg de maíz)."
NA,Uruapeño,No información
Complejo de maíces dentados tropicales ,Vandeño,"Muy similar a Tuxpeño pero con distribución predominante en las costas del Pacífico. Con frecuencia plantas con mejores características que tuxpeño para agroecosistemas industrializados, menores exigencias de humedad que Tuxpeño. Frecuentemente se presentan poblaciones con alto número de hileras (especialmente las variantes "sapo"). La mazorca es de menor tamaño (longitud) pero de mayor diámetro comparada con la de Tuxpeño. Muy blando a semiduro, se puede adaptar para harinas, masa muy blanca ""uy similar a Tuxpeño pero con distribución predominante en las costas del Pacífico. Con frecuencia plantas con mejores características que tuxpeño para agroecosistemas ind"
Complejo de Ocho Hileras ,Zamorano Amarillo,"Raza bastante productiva en grano y como tiene plantas altas produce buen forraje. En los Altos de Jalisco y Michoacán es usado para alimento de ganado, se considera de excelente calidad que supera a los híbridos para forraje de esta región. Las evaluaciones de fisicoquímicas y bromatológicas de las accesiones NAY193, NAY266 (altitud 1000 msnm), arrojan que el grano es grande (PMG 406.0 a 367.5 g) y suave y regular apropiado para elaborar botanas. "
Complejo de maduración temprana a tardía ,Zapalote Chico,"Base del sustento de la población del Istmo fundamentalmente Zapoteca, resistente a plagas de granos almacenados, rapidez de crecimiento, ciclo corto entre la floración y maduración, excelente cobertura de la mazorca por las brácteas. Se puede sembrar en muchos lugares, índice de cuateo, se ha usado en mejoramiento genético internacional como fuente de estas características. El problema es que ha habido interés pero sin resultados sobre su valor. Valor para totopos y tortillas, tlayudas. Material muy suave. Por su planta pequeña se puede sembrar en alta densidad, hasta 3 cosechas por año. Mayor cantidad de proteína entre maíces nativos (12.7% en promedio). Germen grande (mayor cantidad de aceite). Totomoxtle muy duro no apto para forraje. Resistente al acame."
NA,Zapalote Grande,No información
